name,year,index,citation
Etienne Francois Geoffroy,1698,6,212
Thomas Isted,1698,NULL,NULL
John Fryer,1698,34,3666
Anthony Hammond,1698,6,178
Sir John Stanley,1698,56,
George Mackay,1698,14,490
Jacques Cassini,1698,NULL,NULL
Sir Berkeley Lucy,1698,NULL,NULL
Robert Shirley,1699,11,509
John Lowther,1699,24,1990
Reeve Williams,1699,NULL,NULL
Charles Sackville,1699,NULL,NULL
William Cowper,1699,NULL,NULL
James Cunningham,1699,38,7081
David Krieg,1699,4,127
Thomas Browne,1699,30,5025
Pierre Silvestre,1699,5,144
James Pound,1699,3,20
Martin Bowes,1699,NULL,NULL
Johann Burchard Menkenius,1699,3,36
Edward Worth,1699,NULL,NULL
George Andre Agricola,1699,NULL,NULL
Paul Buissiere,1699,NULL,NULL
Otto Sperling,1700,2,12
Abraham Cyprianus,1700,NULL,NULL
John Keill,1700,NULL,NULL
Philip Sydenham,1700,NULL,NULL
Charles Du Bois,1700,2,132
Cyril Arthington,1701,NULL,NULL
James Drake,1701,56,10130
Christian Leyoncrona,1701,NULL,NULL
Owen Lloyd,1701,15,632
"John Perceval, 1st Earl of Egmont",1701, ,
John Shadwell,1701, ,
John Chamberlayne,1702,1,
Jean Chardellou,1702,NULL,NULL
George Cheyne,1702,NULL,NULL
John Lowthorp,1702,NULL,NULL
Abraham de la Pryme,1702,NULL,NULL
Robert Tompson,1702,13,515
Michael Le Vassor,1702,6,128
James Vernon,1702,5,243
James Yonge,1702,NULL,NULL
Robert Areskin,1703,NULL,NULL
Peniston Booth,1703,NULL,NULL
Claude Bourdelin,1703,NULL,NULL
Johann Philipp Breyne,1703,NULL,NULL
William Derham,1703,NULL,NULL
"Sir Matthew Dudley, 2nd Baronet",1703,4,108
John Hickes,1703,NULL,NULL
James Hodgson,1703,19,2231
Pieter Hotton,1703,NULL,NULL
Richard Mead,1703,9,422
Joseph Morland,1703,NULL,NULL
John Morton,1703,42,6974
William Oliver,1703,30,2853
August Quirinus Rivinus,1703,NULL,NULL
Russell Robartes,1703,NULL,NULL
Johann Jakob Scheuchzer,1703, ,0
Joseph Shaw,1703,19,1855
Philip Stubs,1703,NULL,NULL
Emanuele Timone,1703,NULL,NULL
Antonio Valisnieri,1703,NULL,NULL
Francis Annesley,1704,NULL,NULL
John Arbuthnot,1704,NULL,NULL
Walter Clavell,1704,NULL,NULL
William Fellowes,1704,NULL,NULL
John Fuller,1704,66,18468
Prince George of Denmark,1704,11,931
Samuel Morland,1704,NULL,NULL
Andrew Tooke,1704,NULL,NULL
Francis Hauksbee,1705,NULL,NULL
Gilbert Heathcote,1705,NULL,NULL
William King,1705,40,5934
Dacre Barret Lennard,1705,NULL,NULL
John Mortimer,1705,6,89
William Nicolson,1705,2,14
John Thorpe,1705,48,6099
Henry Worsley,1705,NULL,NULL
Governor of Barbados,1705,NULL,NULL
Philip Bisse,1706,NULL,NULL
"Charles Boyle, 4th Earl of Orrery",1706, ,
William Burnett,1706,47,7375
Willem Buys,1706,NULL,NULL
"Carron, Count of Briancon",1706,NULL,NULL
"William Cowper, 1st Earl Cowper",1706,NULL,NULL
James Douglas,1706,22,1451
Jean Christophe Fatio,1706,44,7728
Thomas Forster,1706,4,76
Samuel Garth,1706,NULL,NULL
John Knight,1706,20,1735
Giovanni Maria Lancisi,1706,18,1148
Francis Nicholson,1706,1,4
Thomas Savery,1706,NULL,NULL
James Sherard,1706,12,808
Robert Shippen,1706,NULL,NULL
"Charles Townshend, 2nd Viscount Townshend",1706,4,52
Wilhelm Van Vrijberge,1706,NULL,NULL
Humfrey Wanley,1706,NULL,NULL
Thomas Ayres,1707,29,2576
Thomas Frankland,1707,NULL,NULL
William Frankland,1707,1,2
"James Graham, 1st Duke of Montrose",1707,51,9178
Rowland Holt,1707,NULL,NULL
Thomas Hoy,1707,NULL,NULL
"John Ker, 1st Duke of Roxburghe",1707,NULL,NULL
Benjamin Morland,1707,NULL,NULL
Henry Plumtre,1707,NULL,NULL
"Thomas Trevor, 1st Baron Trevor",1707,NULL,NULL
James Venables,1707,NULL,NULL
Charles Nicholas Ayres,1708,1,2
Robert Balle,1708,NULL,NULL
John Bridges,1708,19,1952
Francesco Cornaro,1708,NULL,NULL
William Fellowes,1708,NULL,NULL
Richard Foley,1708,10,266
"Thomas Grey, 2nd Earl of Stamford",1708,7,171
David Hamilton,1708,34,3702
Archibold Hutcheson,1708,NULL,NULL
Jean Rodolphe Lavater,1708,NULL,NULL
Edward Lawrence,1708,3,21
Edward Lhuyd,1708,NULL,NULL
George Markham,1708,32,3011
Thomas Milles,1708,NULL,NULL
